カテゴリ	問題文	選択肢1（正解）	選択肢2	選択肢3	選択肢4	解説 
納税義務の拡張	国税徴収法における「第二次納税義務」の性質である「補充性」の説明として正しいものはどれか。	主たる納税者の財産について滞納処分を執行しても、なお徴収すべき額に不足すると認められる場合にのみ義務を負う性質。	主たる納税者の納税義務が消滅したとしても、第二次納税義務は独立して存続し続ける性質。	税務署長が任意に選択し、主たる納税者よりも先に第二次納税義務者から徴収できる性質。	主たる納税者の承諾がない限り、第二次納税義務者への告知を行うことができない性質。	第二次納税義務は、主たる納税義務者の財産に不足がある場合に初めて責任を負う「補充性」を有しています,。 
納税義務の拡張	第二次納税義務の「付従性」に関する記述として正しいものはどれか。	主たる納税義務が納付や時効等により消滅したときは、第二次納税義務も当然に消滅する。	主たる納税義務が消滅しても、第二次納税義務者の納付通知書が発せられた後は消滅しない。	主たる納税者に生じた納税猶予の効力は、第二次納税義務者には一切及ばない。	第二次納税義務者が国税を完納しても、主たる納税者の義務には影響を与えない。	第二次納税義務は主たる納税義務に依存する「付従性」があるため、主たる債務が消滅すれば、それに伴って消滅します。 
納税義務の拡張	税務署長が第二次納税義務者から国税を徴収しようとする際、最初に行わなければならない手続はどれか。	納付通知書による告知	納付催告書による督促	滞納処分（差し押さえ）の執行	主たる納税者の財産の公売公告	徴収法第32条第1項により、まず納付通知書により徴収しようとする金額や納付期限を告知する必要があります。 
納税義務の拡張	第二次納税義務の「納付の期限」は、原則としていつに設定されるか。	納付通知書を発する日の翌日から起算して1月を経過する日	納付通知書が第二次納税義務者に到達した日の翌日	主たる納税者の本来の納期限と同じ日	納付通知書を発した日から起算して10日を経過した日	徴収法施行令第11条第4項により、納付通知書を発する日の翌日から1か月後が期限となります。 
納税義務の拡張	第二次納税義務者が納付期限までに完納しない場合、税務署長が発する「督促」の書類名称はどれか。	納付催告書	督促状	差押予告通知書	納税告知書	徴収法第32条第2項により、第二次納税義務者への督促は「納付催告書」によって行われます。 
納税義務の拡張	第二次納税義務者に対して「納付催告書（督促）」を発しなければならない期限はいつか。	納付の期限から50日以内	納付の期限から10日以内	主たる納税者の滞納が発覚してから1年以内	納付通知書を発送した当日	徴収法第32条第2項により、原則として納付の期限から50日以内に発するものとされています。 
納税義務の拡張	第二次納税義務者の財産を「換価（売却）」することができる時期に関する制限として正しいものはどれか。	原則として、主たる納税者の財産を換価に付した後でなければならない。	納付催告書を送達した直後であれば、主たる納税者の状況を問わず換価できる。	主たる納税者が「破産手続開始」の決定を受けた場合に限り、即座に換価できる。	第二次納税義務者が不服申立てを行っている間は、いかなる場合も換価が可能である。	第32条第4項により、補充性の観点から主たる納税者の財産を先に換価するのが原則です。 
納税義務の拡張	第二次納税義務者がその義務を履行（納付）した場合に、主たる納税者に対して有する権利を何というか。	求償権	代位弁済権	差押解除請求権	換価猶予申請権	第32条第5項により、第二次納税義務者は主たる納税者に対して求償権を行使することができます,。 
納税義務の拡張	主たる納税義務について生じた「時効の完成猶予及び更新」の効力は、第二次納税義務にどのように影響するか。	主たる納税義務の時効が更新されれば、第二次納税義務の時効も更新される。	主たる納税義務の時効が更新されても、第二次納税義務の時効には一切影響しない。	第二次納税義務の時効が先に完成した場合に限り、主たる納税義務も消滅する。	告知がされる前であれば影響するが、納付通知書の発送後は影響しなくなる。	民法第457条第1項の規定などを準用し、主たる納税義務の時効の中断等は第二次納税義務にも及びます。 
納税義務の拡張	徴収法第33条（合名会社等の社員の第二次納税義務）において、第二次納税義務を負う「社員」の範囲として正しいものはどれか。	合名会社の社員、合資会社及び監査法人の無限責任社員など。	株式会社の全ての株主。	有限責任会社の全ての社員。	清算手続において残余財産の分配を受けた者。	合名会社や税理士法人の社員、合資会社等の無限責任社員が対象となります。 
納税義務の拡張	徴収法第34条（清算人等の第二次納税義務）において、清算人が負う責任の限度はどれか。	分配又は引渡しをした財産の価額の限度	滞納国税の全額（無限責任）	清算人個人の総資産の限度	主たる納税者の資本金の額の限度	清算人は、分配又は引渡しをした財産の価額の限度で責任を負います。 
納税義務の拡張	徴収法第39条（無償又は著しい低額の譲受人等の第二次納税年前の日以後にされた無償譲渡等の処分が対象です,。 
納税義務の拡張	第39条の第二次納税義務者が「滞納者の親族その他の特殊関係者」である場義務）が適用される「時期」の要件はどれか。	国税の法定納期限の1年前の日以後にされた処分であること。	主たる納税者が滞納を開始した日以後にされた処分であること。	納付通知書が発せられる3か月前までにされた処分であること。	督促状が発せられた日より後にされた処分であること。	第39条は、法定納期限の1合の責任限度額はどれか。	無償譲渡等の処分の時において受けた利益の全額	納付通知書を受ける時に現に存する利益の額	滞納者の全資産から負債を控除した額の2分の1	一律に滞納国税の全額（無限責任）	特殊関係者の場合は、処分時に受けた利益の額が限度となります,。 
