カテゴリ	問題文	選択肢1（正解）	選択肢2	選択肢3	選択肢4	解説 
交付要求	国税徴収法における「交付要求」の定義として正しいものはどれか。	滞納者の財産について強制換価手続が行われた場合に、その手続に参加して滞納国税の配当を求める手続。	滞納者の財産を税務署が直接占有し、公売によって金銭に換える一連の強制執行手続。	裁判所の許可を得て、滞納者の住居から財産を没収し、国庫に帰属させる行政処分。	滞納者と他の債権者との間で、配当の順位について合意を形成するための協議手続。	交付要求は、他の執行機関による強制換価手続に参加して配当を求める手続であり、自ら強制的に徴収を実現させるものではありません。 
交付要求	交付要求を執行するための要件として、正しいものはどれか。	滞納者の財産について強制換価手続が行われており、かつ納期限を経過した国税があること。	滞納者が督促状を受け取ってから10日を経過しており、他に差し押さえるべき財産がないこと。	裁判所から交付要求許可決定書が交付され、滞納者がその内容を承諾していること。	滞納国税の額が、対象となる財産の換価見積価額の2分の1を超えていること。	交付要求の要件は、強制換価手続の開始と、納期限を経過した国税の存在の2点です。督促の有無や猶予の有無は問いません。 
交付要求	交付要求の手続において、税務署長が執行機関に対して提出しなければならない書類はどれか。	交付要求書	差押調書謄本	差押予告通知書	滞納処分執行命令書	徴収法第82条第1項により、税務署長は執行機関に対し、交付要求書により交付要求をしなければなりません。 
交付要求	交付要求をした際、税務署長がその旨を通知しなければならない相手は誰か。	滞納者及び判明している質権者等の権利者	滞納者の親族及び全ての取引先企業	配当に参加している他の全ての私的債権者	差押えを執行した徴収職員及びその上席者	第82条第2項及び第3項により、交付要求をしたときは滞納者及び知れている質権者等に通知する必要があります。 
交付要求	交付要求が「徴収権の消滅時効」に与える効果として正しいものはどれか。	時効の完成猶予及び更新の効果が生じる。	時効の進行を一時的に停止させるが、更新はされない。	時効の進行には一切の影響を与えない。	時効期間を10年に延長する効果がある。	国税通則法第73条第1項第5号により、交付要求は時効の完成猶予及び更新の効果を有します。 
交付要求	交付要求が行われた財産の強制換価手続が、解除又は取り消された場合、交付要求の効力はどうなるか。	交付要求はその効力を失う。	交付要求は「差押え」に自動的に切り替わる。	手続が再開されるまで、時効の完成猶予のみが継続する。	税務署長が別途「解除通知」を出さない限り、効力は存続する。	先行の強制換価手続が解除等された場合、交付要求はその目的を失い効力を失います。解除手続も不要です。 
交付要求	交付要求を行うべき場合であっても、交付要求をしないことができる「制限」の要件はどれか。	滞納者が他に換価が容易で第三者の権利がない財産を有し、その財産で全額徴収できるとき。	滞納者が「生活が苦しい」として、交付要求の中止を口頭で申し立てたとき。	対象となる財産の価値が低く、滞納処分費を差し引くと配当が1万円以下になるとき。	滞納者が第二次納税義務者であり、主たる納税義務者の財産がまだ換価されていないとき。	第83条により、他に十分な財産がある場合は、国税に劣後する債権者を保護するため交付要求を行いません。 
交付要求	「参加差押え」の定義として、最も適切なものはどれか。	他の行政機関等が差し押さえている財産に対し、交付要求の一種として行う手続。	裁判所が差し押さえている財産に対し、民事執行法の規定に基づいて行う手続。	滞納者の親族が占有している動産を、徴収職員が第三者の立ち会いのもとで差し押さえる手続。	一つの国税に対して、複数の税務署が協力して同時に財産を差し押さえる手続。	参加差押えは交付要求の一種であり、滞納処分（行政処分）相互間で行われる特定の財産に対する手続です。 
交付要求	参加差押えをすることができる対象財産に含まれないものはどれか。	銀行預金（債権）	不動産、船舶、航空機	自動車、建設機械、小型船舶	電話加入権	債権については、第82条の交付要求を行うとともに二重差押えを行う取扱いとなっており、参加差押えの対象外です。 
交付要求	参加差押えを執行するための固有の要件はどれか。	滞納者の財産について、既に「滞納処分による差押え」がされていること。	滞納者の財産について、既に「民事執行法による強制執行」がされていること。	滞納者が過去3年以内に国税を滞納した事実があること。	滞納国税について、既に差し押さえるべき他の財産が全くないこと。	参加差押えは、滞納処分による差押えが既になされている場合にのみ、交付要求に代えて行うことができます。 
交付要求	参加差押えの手続において、税務署長が先行の差押えをした行政機関等に交付する書類はどれか。	参加差押書	交付要求書	差押調書謄本	換価催告書	第86条第1項により、参加差押書を滞納処分をした行政機関等に交付して行います。 
交付要求	不動産について参加差押えをした場合、税務署長が行わなければならない手続はどれか。	参加差押えの登記を関係機関に嘱託する。	最高裁判所に参加差押えの許可を申請する。	滞納者の住居を捜索し、権利証を占有する。	全ての一般債権者に対し、参加差押通知書を送達する。	第86条第3項により、不動産等について参加差押えをしたときは、その登記（登録）を嘱託しなければなりません。 
交付要求	参加差押えをした財産について、先行の差押えが解除された場合に生じる効力はどれか。	参加差押えをした時に遡って、差押えの効力が生ずる。	先行の差押えの解除の時から、新たに差押えをやり直す必要がある。	交付要求としての配当を受ける権利のみが存続する。	自動的に「換価の猶予」が適用される。	第87条第1項により、先行差押えが解除されると、参加差押えをした時に遡って差押えの効力が生じます。 
交付要求	先行の差押えが解除された時、同一財産に2以上の参加差押えがある場合、誰の参加差押えが優先して差押えの効力を生じるか。	最も先にされた（登記・登録がされた）参加差押え	滞納国税の額が最も大きい参加差押え	法定納期限が最も古い国税に係る参加差押え	滞納者の承諾を最も早く得た参加差押え	第87条第1項の括弧書により、最も先にされた（不動産等は最も先に登記等された）参加差押えが差押えの効力を生じます。 
交付要求	参加差押えをしている税務署長が、先行の差押機関に対し、「速やかに財産を売ってほしい」と求めることができる権利を何というか。	換価催告	交付要求解除請求	差押換請求	滞納処分続行命令	第87条第3項により、相当期間内に換価されないときは、速やかに換価すべきことを催告することができます。 
交付要求	交付要求又は参加差押えを「解除しなければならない」義務的な場合はどれか。	納付や充当等により、その交付要求等に係る国税が消滅したとき。	滞納者が「他に差し押さえる財産がある」と自己申告したとき。	先行の強制換価手続の配当見込額が、国税の額に満たないと判明したとき。	交付要求をした日から起算して1年を経過しても、換価が行われないとき。	第84条第1項及び第88条第1項により、国税が消滅したときは解除しなければなりません。 
交付要求	電話加入権について参加差押えを解除した際、税務署長が通知しなければならない相手は誰か。	第三債務者（NTT等）	滞納者の親族	法務局の登記官	全ての参加差押権者	第88条第3項により、電話加入権の参加差押えを解除したときは、第三債務者に通知する必要があります。 
