カテゴリ	問題	解答1	解答2	解答3	解答4	解説
調査	徴収職員が滞納処分を執行するために行う財産調査の目的として、不適切なものはどれか。	滞納者の過去の犯罪歴をすべて明らかにするため。	財産が滞納者に帰属しているかを確認するため。	財産の所在や金銭的価値を確認するため。	どの財産を差し押さえるべきか選択するため。	財産調査は、財産の帰属、所在、価値の把握、および差押財産の選択などを目的として行われます。 
調査	徴収職員が財産調査（質問、検査、捜索等）を行う際、必ず携帯し、請求があれば提示しなければならないものはどれか。	徴収職員証票	税務署長の委任状	裁判所の捜索令状	身分証明書としての運転免許証	徴収職員は、質問、検査、捜索等を行う際、その身分を示す徴収職員証票を携帯し、関係者の請求があれば提示しなければなりません。 
調査	国税徴収法第141条に規定される「質問検査権」の性質として正しいものはどれか。	行政上の目的で行われる任意調査（拒否等には罰則あり）。	裁判所の令状を必要とする強制調査。	犯罪の証拠を収集することを目的とした刑事手続。	滞納者の同意がなければ一切行使できない権限。	質問検査権は任意調査の性質を持ちますが、正当な理由なく拒絶した場合には罰則が規定されています。また、犯罪捜査のために認められたものではありません。 
調査	「質問検査権」の調査の相手方に含まれないものはどれか。	滞納者と面識があるだけの近隣住民。	滞納者本人。	滞納者の財産を占有する第三者。	滞納者が株主である法人。	調査の相手方は、滞納者、財産占有者、債権債務関係がある者、滞納者が株主である法人など、財産に関係する者に限られます。 
調査	調査のために提出された帳簿書類などの物件について、徴収職員ができる措置はどれか。	その物件を留め置くことができる。	その場ですぐに返却しなければならない。	滞納者の同意がなければ持ち出すことはできない。	シュレッダー等で直ちに破棄しなければならない。	徴収職員は、滞納処分に関する調査について必要があるときは、提出された物件を留め置くことができます。 
調査	「捜索」の法的性質として正しいものはどれか。	捜索を受ける者の意思に拘束されない強制調査。	相手の同意がある場合にのみ行える任意調査。	常に裁判所の捜査令状を必要とする刑事手続。	日没後であれば、相手の同意なしには行えない調査。	質問・検査は任意調査（拒否に罰則あり）ですが、捜索は相手の意思に関わらず行える強制調査です。 
調査	徴収職員が「滞納者の住居」を捜索できるのはどのような場合か。	財産の発見や搬出のためなど、滞納処分の執行のため必要があるとき。	滞納者が多額の借金をしているという噂があるとき。	滞納者が督促状を受け取った直後のとき。	裁判所から特別の許可証を得たとき。	差し押さえるべき財産の発見や、差し押さえた財産の搬出など、滞納処分の執行のため必要があるときに行われます。 
調査	徴収職員が「第三者の住居」を捜索できる要件として正しいものはどれか。	滞納者の財産を所持している第三者が、その引渡しをしないとき。	第三者が滞納者の親戚であるだけで十分である。	第三者が過去に滞納したことがあるとき。	第三者の承諾が事前に得られているとき。	第三者の場所の捜索は、滞納者の財産を所持する第三者が引渡しを拒んだ場合などに限定して認められます。 
調査	捜索の際、金庫や戸が閉鎖されている場合、徴収職員がとれる措置はどれか。	自ら開くため必要な処分をすることができる。	開くのを諦めて帰らなければならない。	警察官が到着するまで待たなければならない。	開錠業者を呼んで滞納者に代金を請求しなければならない。	滞納者や第三者が開扉の求めに応じない場合や不在の場合、徴収職員は自ら開くための必要な処分が可能です。 
調査	捜索を行うことができる時間帯の原則的な制限はどれか。	日没後から日出前までは行うことができない。	24時間いつでも行うことができる。	平日の午前9時から午後5時までに限られる。	滞納者が在宅している時間に限られる。	捜索は原則として、日没後から日出前まではすることができません。 
調査	日没後であっても捜索を継続できるのはどのような場合か。	日没前に着手した捜索を継続する場合。	滞納者が夜間に帰宅すると判明した場合。	税務署長が夜間の捜索を許可した場合。	近隣住民の同意がある場合。	日没前に着手した捜索は、日没後まで継続して行うことができます。 
調査	旅館や飲食店などの「夜間でも公衆が出入りできる場所」での捜索制限はどうなっているか。	公開した時間内であれば、日没後でも捜索できる。	公衆の邪魔になるため、営業中は一切できない。	客が一人もいない場合に限り、日没後もできる。	いかなる場合も日没後は禁止である。	夜間でも公衆が出入りする場所については、公開された時間内であれば、日没後でも捜索が可能です。 
調査	滞納者の住居を捜索する場合、必ず立ち会わせなければならない者は誰か（不在等の場合を除く）。	滞納者、同居の親族、または使用人など相当のわきまえのある者。	滞納者の近所に住む代表者1名。	滞納者が指定した知人。	裁判所の執行官。	捜索の適正を期するため、滞納者、同居の親族、または使用人などで相当のわきまえのある者を立ち会わせる必要があります。 
調査	捜索の立会人（滞納者や親族等）が不在、または立ち会いに応じない場合、誰を立ち会わせる必要があるか。	成年に達した者2人以上、または地方公共団体の職員、警察官。	税務署の他の職員2名以上。	近隣の住民1名。	誰の立ち会いもなしに進めてよい。	適切な立会人が不在等の場合は、成年に達した者2人以上、または地方公共団体の職員、警察官を立ち会わせなければなりません。 
調査	捜索の結果、差し押さえるべき財産がなかった場合、消滅時効はどうなるか。	捜索が終了した時に、時効が「更新」される。	何の影響も与えず、時効は進行し続ける。	時効が「完成」し、納税義務が消滅する。	時効が永久に停止する。	差押えができなかった場合でも、捜索の終了により、徴収権の消滅時効の更新（リセット）の効力が生じます。 
調査	捜索が終わった後、徴収職員が作成し、立会人に交付しなければならない書類はどれか（差押えに至らなかった場合）。	捜索調書の謄本	差押調書の謄本	質問検査結果報告書	捜索完了証明書	捜索の事績を明確にするため捜索調書を作成し、その謄本を捜索を受けた者や立会人に交付する必要があります。 
調査	捜索・差押の執行中、徴収職員が特定の者の出入りを禁止できるのはなぜか。	処分の執行のため支障があると認められるから。	滞納者に精神的な圧力をかけるため。	捜索の秘密を保持するため。	マスコミの取材を避けるため。	捜索、差押え、財産搬出に支障がある場合に限り、その場所への出入りを禁止することができます。 
調査	「出入禁止」の措置において、徴収職員が出入りを禁止できない者は誰か。	滞納者、捜索を受けた第三者、同居の親族、代理人。	その場に居合わせた見物人。	滞納者の友人。	たまたま訪問してきた宅配業者。	滞納者、捜索を受けた第三者、同居の親族、および弁護士・税理士等の代理人に対しては、出入りを禁止することができません。 
調査	徴収職員が「官公署」に対して帳簿書類の閲覧・提供等の協力要請をした場合、相手方の対応はどうなるか。	行政目的を阻害するかどうかを個別に判断して応じる。	法律上の義務として必ず応じなければならない。	滞納者の同意がない限り、応じることはできない。	協力金が支払われる場合に限り、応じることができる。	官公署等への協力要請は、相手方に義務を課すものではなく、相手方がその行政目的を阻害するかどうかを個別に判断して応じることになります。 
